feature,importance
src_bytes,0.19241346311203972
dst_bytes,0.11315747054885257
dst_host_srv_count,0.07384310386879116
dst_host_same_srv_rate,0.07113217822998537
flag,0.06569436254500803
same_srv_rate,0.06328227221062345
logged_in,0.050471221328872336
srv_serror_rate,0.036925281114924054
diff_srv_rate,0.03448356184675239
count,0.030222671028555425
dst_host_same_src_port_rate,0.027959432919844675
protocol_type,0.02757214964833864
dst_host_diff_srv_rate,0.025619760256578895
service,0.02491922732278543
serror_rate,0.023414295221788645
dst_host_srv_diff_host_rate,0.020701150844606792
srv_count,0.018348745270673608
dst_host_rerror_rate,0.017901016776899915
dst_host_serror_rate,0.013451146731156209
dst_host_count,0.011534427502224871
dst_host_srv_serror_rate,0.011483864524309646
hot,0.010252453269072169
dst_host_srv_rerror_rate,0.007866281060602838
num_compromised,0.006559259240016619
wrong_fragment,0.004730364208812187
srv_rerror_rate,0.004449040390529006
rerror_rate,0.0038525751284528803
duration,0.003656039925104229
srv_diff_host_rate,0.001842442695844019
is_guest_login,0.0012137947851895974
num_root,0.0003517478820568062
num_failed_logins,0.00019832289089061073
num_file_creations,0.00015879312743067282
root_shell,0.00011205588679226421
num_shells,7.068111324510638e-05
num_access_files,6.999295530467284e-05
su_attempted,3.048550016403956e-05
urgent,2.8117348390823618e-05
land,2.674973848966243e-05
num_outbound_cmds,0.0
is_host_login,0.0
